"[-195.649348063075, 149.047403722551, 125.34486440133]"
"[-182.217201, 94.657365, 116.994169]"
"[-182.18084145079, 135.224171535522, 137.931212922277]"
"[-188.985344362366, 1.80295983325887, 131.383895440901]"
"[-179.50832896224, 110.948216337185, 136.134511295958]"
"[-185.996623366722, 89.3380744487804, 135.588014517825]"
"[-181.762159612771, 48.7979871840794, 125.729805478109]"
"[-178.012497044934, 94.5006731967864, 124.938301156851]"
"[-191.93981491139, 143.384143846537, 123.146070484507]"
"[-199.826578265334, 136.382641182169, 107.078332453248]"
"[-202.186004750202, 1.73271536160474, 105.911724888896]"
"[-204.036667098344, 112.335104003442, 105.159070047263]"
"[-211.232361551174, 91.4079203745581, 109.5941373691]"
"[-198.536394534557, 50.7705694041936, 110.142063900711]"
"[-186.421132520995, 94.9911622897229, 109.055073360584]"
"[-184.16963627472, 114.74528205033, 118.573574059508]"
"[-185.649580135066, 123.30764535526, 119.51148822848]"
